"A","time","Conversion_%","date_time","deltainj","date&time_diff","day_from_calib_gen","Gen","k_rec"
1910,"08:22",59.5015576323988,"2022-07-22T08:22",11513,0,-18,"10",1
1870,"07:18",58.2554517133956,"2022-07-26T07:18",1423,-4,-22,"10",1
1720,"07:18",53.5825545171339,"2022-07-28T07:18",1430,-6,-24,"10",1
1850,"07:24",57.6323987538941,"2022-07-29T07:24",1446,-7,-25,"10",1
1680,"07:35",62.453531598513,"2022-08-08T07:35",927,-17,-35,"10",1
1690,"07:35",62.8252788104089,"2022-08-09T07:35",1208,-18,-36,"10",1
1580,"07:31",58.7360594795539,"2022-08-11T07:31",1200,-20,-38,"10",1
1660,"07:25",61.7100371747212,"2022-08-12T07:25",1194,-21,-39,"10",1
1580,"15:30",58.7360594795539,"2022-08-12T15:30",244,-21,-39,"10",0.936
1460,"07:30",55.9386973180077,"2022-08-15T07:30",860,-24,-42,"10",1
1730,"07:30",66.2835249042146,"2022-08-16T07:30",1200,-25,-43,"10",1
1470,"11:30",56.3218390804598,"2022-08-16T11:30",240,-25,-43,"10",0.93
1610,"07:26",61.6858237547893,"2022-08-18T07:26",1196,-27,-45,"10",1
1470,"11:30",56.3218390804598,"2022-08-18T11:30",244,-27,-45,"10",0.936
1650,"07:26",63.2183908045977,"2022-08-19T07:26",1196,-28,-46,"10",1
1630,"11:30",62.4521072796935,"2022-08-19T11:30",244,-28,-46,"10",0.936
1760,"07:30",69.5652173913043,"2022-08-22T07:30",853,-31,-49,"10",1
1470,"07:30",58.102766798419,"2022-08-23T07:30",1200,-32,-50,"10",1
1470,"11:30",58.102766798419,"2022-08-23T11:30",240,-32,-50,"10",0.93
1740,"07:30",68.7747035573123,"2022-08-25T07:30",1200,-34,-52,"10",1
1560,"11:30",61.6600790513834,"2022-08-25T11:30",240,-34,-52,"10",0.93
1560,"07:30",61.6600790513834,"2022-08-26T07:30",1200,-35,-53,"10",1
1510,"11:30",59.6837944664032,"2022-08-26T11:30",240,-35,-53,"10",0.93
1580,"07:30",65.2892561983471,"2022-08-29T07:30",826,-38,-56,"10",1
1660,"07:30",68.5950413223141,"2022-08-30T07:30",1200,-39,-57,"10",1
1490,"07:30",61.5702479338843,"2022-09-01T07:30",1200,-41,-59,"10",1
1330,"11:30",54.9586776859504,"2022-09-01T11:30",240,-41,-59,"10",0.93
